city,locality,apartment_name,bhk,area_sqft,price_per_sqft_inr,price_in_inr,price_in_lakhs,year_built,floor_no,total_floors,furnishing,near_metro,generated_at
Thane,Powai,Palace Heights,4,2296,14997,34433112,344.33,1993,21,23,Furnished,No,2026-01-19
Mumbai,Andheri,Amber Residency,1,840,24177,20308680,203.09,2015,3,19,Unfurnished,No,2026-01-19
Chandigarh,Sector 35,Crown Apartments,3,1252,6011,7525772,75.26,1997,4,9,Unfurnished,No,2026-01-19
Gurgaon,Sector 49,Regal Square,2,847,7028,5952716,59.53,1994,10,30,Semi-Furnished,Yes,2026-01-19
Chandigarh,Sector 35,Ocean Heights,2,1083,6440,6974520,69.75,2014,16,22,Furnished,Yes,2026-01-19
Mohali,Phase 6,Urban Garden,3,1670,6384,10661280,106.61,2020,2,8,Furnished,No,2026-01-19
Ahmedabad,Bodakdev,Urban Enclave,2,733,4049,2967917,29.68,2010,9,14,Unfurnished,No,2026-01-19
Thane,Wagle Estate,Regal Bay,3,1223,15772,19289156,192.89,1991,5,10,Semi-Furnished,Yes,2026-01-19
Bengaluru,Indiranagar,Iris Villas,4,2036,12977,26421172,264.21,2010,1,32,Furnished,No,2026-01-19
Surat,Puna Gam,Crystal Arcade,3,1555,3805,5916775,59.17,2023,3,33,Semi-Furnished,Yes,2026-01-19
Bengaluru,Whitefield,Urban Bloom,2,897,11918,10690446,106.9,1986,3,21,Unfurnished,No,2026-01-19
Noida,Sector 50,Vista Terrace,2,1034,9091,9400094,94.0,1986,8,35,Furnished,No,2026-01-19
Mumbai,Versova,Pride Square,4,1275,34195,43598625,435.99,1985,2,22,Semi-Furnished,No,2026-01-19
Jaipur,C Scheme,Sky Terrace,2,990,4427,4382730,43.83,2005,2,26,Furnished,No,2026-01-19
Coimbatore,Gandhipuram,Maple Square,4,2092,3782,7911944,79.12,1993,4,8,Furnished,Yes,2026-01-19
Ahmedabad,Naranpura,Sunrise Square,1,629,5143,3234947,32.35,1998,1,27,Semi-Furnished,Yes,2026-01-19
Delhi,Karol Bagh,Pearl Square,2,973,10353,10073469,100.73,2001,1,31,Furnished,No,2026-01-19
Chennai,OMR,Lotus Apartments,1,485,8712,4225320,42.25,2017,8,34,Furnished,Yes,2026-01-19
Mumbai,Bandra,Maple Terrace,3,1131,27424,31016544,310.17,2000,3,5,Furnished,No,2026-01-19
Kolkata,Garia,Hill Square,3,1493,5092,7602356,76.02,1992,3,33,Unfurnished,Yes,2026-01-19
Mumbai,Lower Parel,Amber Square,2,1101,24430,26897430,268.97,2008,2,7,Furnished,Yes,2026-01-19
Surat,Adajan,Crystal Apartments,4,2353,5424,12762672,127.63,2002,8,13,Unfurnished,No,2026-01-19
Chandigarh,Sector 43,Maple Bloom,2,917,8073,7402941,74.03,2004,1,19,Unfurnished,Yes,2026-01-19
Thane,Kolshet,Royal Residency,3,1145,15263,17476135,174.76,2017,6,32,Unfurnished,Yes,2026-01-19
Thane,Powai,Oak Bay,2,970,11036,10704920,107.05,2019,6,27,Semi-Furnished,No,2026-01-19
Noida,Greater Noida,Urban Terrace,3,1204,7318,8810872,88.11,2003,2,18,Unfurnished,No,2026-01-19
Hyderabad,Banjara Hills,Amber Garden,2,1143,7538,8615934,86.16,2003,3,32,Semi-Furnished,No,2026-01-19
Delhi,Vasant Kunj,Crystal Residency,4,2069,15042,31121898,311.22,2002,3,27,Unfurnished,Yes,2026-01-19
Kolkata,Alipore,Ocean Heights,3,1560,5219,8141640,81.42,2007,1,24,Unfurnished,No,2026-01-19
Thane,Kolshet,Orchid Grove,1,494,19375,9571250,95.71,2024,2,11,Semi-Furnished,No,2026-01-19
Mumbai,BKC,Galaxy Enclave,2,818,26440,21627920,216.28,1996,6,12,Semi-Furnished,Yes,2026-01-19
Mumbai,Juhu,Oak Apartments,2,1094,27893,30514942,305.15,2023,4,15,Semi-Furnished,No,2026-01-19
Mumbai,Juhu,Sunrise Court,1,682,26739,18235998,182.36,2013,3,7,Furnished,No,2026-01-19
Jaipur,Mansarovar,Lotus Residency,2,876,3941,3452316,34.52,2024,6,31,Unfurnished,Yes,2026-01-19
Chandigarh,Sector 35,Amber Residency,3,1363,7236,9862668,98.63,2001,2,5,Semi-Furnished,Yes,2026-01-19
Pune,Hinjewadi,Hill Bloom,2,1163,8055,9367965,93.68,2012,3,21,Unfurnished,No,2026-01-19
Pune,Baner,Ocean Arcade,2,984,8115,7985160,79.85,2001,5,18,Furnished,No,2026-01-19
Bengaluru,Indiranagar,Ocean Court,3,1488,10019,14908272,149.08,2016,3,26,Unfurnished,No,2026-01-19
Chennai,OMR,Hill Grove,3,1145,7110,8140950,81.41,2023,2,2,Unfurnished,No,2026-01-19
Mumbai,Andheri,Regal Court,1,587,26800,15731600,157.32,1992,3,34,Furnished,Yes,2026-01-19
Noida,Sector 18,Palace Residency,3,1538,10007,15390766,153.91,1992,1,3,Semi-Furnished,Yes,2026-01-19
Delhi,Dwarka,Lotus Heights,1,637,12233,7792421,77.92,2025,9,22,Semi-Furnished,No,2026-01-19
Bengaluru,Indiranagar,Pearl Residency,3,1298,11685,15167130,151.67,2021,2,10,Unfurnished,Yes,2026-01-19
Kolkata,Alipore,Sky Residency,3,1110,5462,6062820,60.63,1986,3,22,Unfurnished,Yes,2026-01-19
Bengaluru,Whitefield,Crystal Court,1,604,10910,6589640,65.9,2024,2,27,Semi-Furnished,No,2026-01-19
Delhi,Lajpat Nagar,Pride Grove,3,1130,13344,15078720,150.79,2008,1,11,Furnished,No,2026-01-19
Mumbai,Andheri,Orchid Apartments,1,716,29258,20948728,209.49,1999,1,29,Unfurnished,No,2026-01-19
Hyderabad,Madhapur,Iris Bloom,1,575,5445,3130875,31.31,1989,3,32,Semi-Furnished,Yes,2026-01-19
Ahmedabad,Bodakdev,Maple Bay,1,718,3903,2802354,28.02,2019,1,31,Semi-Furnished,Yes,2026-01-19
Kolkata,Salt Lake,Royal Heights,3,1222,4060,4961320,49.61,2020,4,32,Furnished,Yes,2026-01-19
Pune,Koregaon Park,Palace Bloom,3,1897,7000,13279000,132.79,2017,10,29,Furnished,Yes,2026-01-19
Chennai,Velachery,Lotus Arcade,1,544,7497,4078368,40.78,1988,2,30,Furnished,No,2026-01-19
Bengaluru,Jayanagar,Sky Enclave,3,1275,8563,10917825,109.18,1992,1,29,Semi-Furnished,Yes,2026-01-19
Pune,Kharadi,Pearl Bay,2,980,8733,8558340,85.58,1989,4,13,Furnished,Yes,2026-01-19
Mumbai,Juhu,Pearl Square,2,838,28060,23514280,235.14,1989,2,23,Furnished,No,2026-01-19
Chandigarh,Sector 8C,Pride Arcade,3,1337,6069,8114253,81.14,2023,3,14,Furnished,Yes,2026-01-19
Thane,Kolshet,Royal Bloom,1,563,15540,8749020,87.49,2019,9,11,Unfurnished,No,2026-01-19
Nagpur,Ramdaspeth,Crown Bay,3,1539,2622,4035258,40.35,2017,14,27,Unfurnished,Yes,2026-01-19
Noida,Noida Extension,Pride Square,2,921,8509,7836789,78.37,2017,1,34,Semi-Furnished,No,2026-01-19
Noida,Sector 76,Sunrise Court,1,553,7232,3999296,39.99,2023,1,21,Semi-Furnished,No,2026-01-19
Nagpur,Civil Lines,Oak Villas,1,642,3106,1994052,19.94,1988,2,8,Furnished,No,2026-01-19
Thane,Powai,Hill Court,3,1452,16683,24223716,242.24,2012,1,17,Furnished,No,2026-01-19
Chandigarh,Sector 21,Palace Bay,2,630,6972,4392360,43.92,2018,1,29,Furnished,No,2026-01-19
Kolkata,New Town,Amber Heights,3,1116,5126,5720616,57.21,1996,1,17,Furnished,No,2026-01-19
Chennai,Besant Nagar,Vista Bloom,3,1304,6923,9027592,90.28,2014,3,7,Furnished,No,2026-01-19
Nagpur,Trimurti Nagar,Urban Bay,2,996,2998,2986008,29.86,2002,6,7,Furnished,No,2026-01-19
Gurgaon,MG Road,Regal Garden,2,990,12393,12269070,122.69,1987,1,11,Semi-Furnished,No,2026-01-19
Noida,Sector 76,Vista Terrace,2,946,9808,9278368,92.78,1999,11,28,Furnished,No,2026-01-19
Gurgaon,Cyber City,Amber Arcade,3,1770,9957,17623890,176.24,2002,4,33,Semi-Furnished,No,2026-01-19
Chandigarh,Sector 21,Orchid Apartments,2,1007,6805,6852635,68.53,1989,2,30,Semi-Furnished,Yes,2026-01-19
Nagpur,Civil Lines,Amber Grove,3,1236,3712,4588032,45.88,1992,2,4,Semi-Furnished,No,2026-01-19
Delhi,Saket,Urban Enclave,2,866,10682,9250612,92.51,2017,15,31,Furnished,No,2026-01-19
Mumbai,Powai,Galaxy Garden,3,1246,29850,37193100,371.93,1985,1,27,Unfurnished,Yes,2026-01-19
Ahmedabad,Satellite,Silver Garden,3,1223,5087,6221401,62.21,2022,4,35,Semi-Furnished,Yes,2026-01-19
Chennai,T Nagar,Orchid Apartments,2,1093,5434,5939362,59.39,2018,1,5,Furnished,Yes,2026-01-19
Chandigarh,Sector 17,Cedar Enclave,3,1493,8525,12727825,127.28,2009,1,29,Semi-Furnished,No,2026-01-19
Thane,Ghodbunder Road,Regal Residency,2,1097,13832,15173704,151.74,1995,3,22,Furnished,Yes,2026-01-19
Mohali,Phase 8,Crown Bloom,2,779,4856,3782824,37.83,2015,1,34,Unfurnished,No,2026-01-19
Chennai,Adyar,Maple Bay,2,1184,6966,8247744,82.48,2013,3,15,Furnished,Yes,2026-01-19
Mumbai,Bandra,Sunrise Bay,2,972,27809,27030348,270.3,2001,1,16,Unfurnished,Yes,2026-01-19
Gurgaon,DLF Phase 1,Sky Bloom,2,946,10635,10060710,100.61,1996,11,19,Furnished,No,2026-01-19
Kolkata,Salt Lake,Royal Enclave,1,556,6362,3537272,35.37,2020,4,13,Unfurnished,Yes,2026-01-19
Chandigarh,Sector 21,Palace Grove,3,1338,6530,8737140,87.37,1999,3,6,Unfurnished,No,2026-01-19
Thane,Bhayandar,Orchid Terrace,3,1210,15083,18250430,182.5,2004,2,25,Semi-Furnished,Yes,2026-01-19
Mumbai,Juhu,Green Residency,2,1095,24064,26350080,263.5,2016,2,20,Unfurnished,Yes,2026-01-19
Chandigarh,Sector 8C,Crystal Arcade,2,894,8437,7542678,75.43,2020,3,16,Semi-Furnished,No,2026-01-19
Mumbai,Versova,Royal Bay,3,1308,26692,34913136,349.13,2024,8,25,Semi-Furnished,No,2026-01-19
Ahmedabad,Satellite,Amber Bay,3,1648,5007,8251536,82.52,2009,3,11,Semi-Furnished,No,2026-01-19
Hyderabad,Banjara Hills,Oak Bay,3,1381,7030,9708430,97.08,1995,3,17,Unfurnished,Yes,2026-01-19
Jaipur,Tonk Road,Silver Heights,2,869,4433,3852277,38.52,2021,2,31,Furnished,Yes,2026-01-19
Thane,Bhayandar,Cedar Square,2,1081,14091,15232371,152.32,2005,2,20,Furnished,No,2026-01-19
Chennai,Velachery,Regal Residency,2,891,6179,5505489,55.05,1989,27,31,Furnished,No,2026-01-19
Mumbai,Versova,Sky Terrace,3,1410,23476,33101160,331.01,1991,2,4,Furnished,Yes,2026-01-19
Hyderabad,Hitech City,Amber Villas,2,1063,7023,7465449,74.65,2006,3,23,Unfurnished,No,2026-01-19
Nagpur,Civil Lines,Amber Bloom,2,911,2851,2597261,25.97,2002,3,26,Furnished,No,2026-01-19
Mumbai,Andheri,Galaxy Villas,3,1473,25625,37745625,377.46,1994,2,31,Unfurnished,Yes,2026-01-19
Kolkata,Garia,Crown Residency,1,619,4278,2648082,26.48,2023,3,7,Furnished,No,2026-01-19
Gurgaon,Sector 49,Regal Bay,2,1078,11110,11976580,119.77,1999,5,33,Semi-Furnished,Yes,2026-01-19
Lucknow,Rajajipuram,Sky Heights,2,986,3220,3174920,31.75,2007,2,2,Furnished,Yes,2026-01-19
Thane,Powai,Hill Court,2,880,12876,11330880,113.31,2024,5,16,Unfurnished,Yes,2026-01-19
Chennai,T Nagar,Royal Grove,4,2545,6611,16824995,168.25,1996,3,27,Furnished,No,2026-01-19
Chennai,OMR,Galaxy Arcade,3,1275,8207,10463925,104.64,2007,1,23,Unfurnished,Yes,2026-01-19
Mumbai,Juhu,Sunrise Enclave,2,935,28633,26771855,267.72,2003,1,28,Furnished,No,2026-01-19
Pune,Hinjewadi,Galaxy Heights,2,1151,7377,8490927,84.91,2009,3,10,Semi-Furnished,No,2026-01-19
Mumbai,Versova,Galaxy Villas,2,877,19901,17453177,174.53,2014,4,18,Furnished,No,2026-01-19
Thane,Majiwada,Vista Terrace,3,1436,16571,23795956,237.96,2018,2,12,Semi-Furnished,No,2026-01-19
Kolkata,New Town,Crystal Residency,1,587,4570,2682590,26.83,2011,10,14,Unfurnished,No,2026-01-19
Thane,Wagle Estate,Sky Terrace,2,1117,17621,19682657,196.83,2022,1,31,Semi-Furnished,No,2026-01-19
Hyderabad,Gachibowli,Orchid Grove,1,594,7373,4379562,43.8,2025,3,5,Unfurnished,Yes,2026-01-19
Chennai,Anna Nagar,Vista Arcade,4,1790,6221,11135590,111.36,2005,8,24,Unfurnished,No,2026-01-19
Noida,Sector 50,Regal Terrace,3,1289,8444,10884316,108.84,1995,1,21,Semi-Furnished,Yes,2026-01-19
Nagpur,Dhantoli,Silver Grove,2,1205,3162,3810210,38.1,2002,2,32,Unfurnished,Yes,2026-01-19
Noida,Sector 137,Crown Residency,2,1006,9957,10016742,100.17,2003,2,17,Semi-Furnished,Yes,2026-01-19
Jaipur,Bani Park,Amber Heights,3,1441,3846,5542086,55.42,2023,11,30,Unfurnished,No,2026-01-19
Chandigarh,Sector 17,Crown Enclave,2,1148,6879,7897092,78.97,2001,2,29,Semi-Furnished,No,2026-01-19
Noida,Sector 62,Pride Plaza,2,923,10627,9808721,98.09,2009,16,27,Furnished,No,2026-01-19
Mumbai,Powai,Royal Square,1,548,23826,13056648,130.57,1994,3,14,Unfurnished,Yes,2026-01-19
Mumbai,Bandra,Pearl Terrace,2,1055,21850,23051750,230.52,1994,4,21,Semi-Furnished,Yes,2026-01-19
Delhi,Saket,Cedar Heights,1,624,13920,8686080,86.86,2014,2,3,Furnished,No,2026-01-19
Gurgaon,Sohna Road,Crown Square,2,1078,8324,8973272,89.73,2025,1,29,Unfurnished,Yes,2026-01-19
Surat,Udhna,Maple Apartments,3,1480,3314,4904720,49.05,2019,14,23,Unfurnished,Yes,2026-01-19
Mumbai,Bandra,Crystal Square,2,999,27787,27759213,277.59,2003,2,24,Furnished,Yes,2026-01-19
Mumbai,Versova,Iris Residency,2,765,23817,18220005,182.2,1987,3,33,Unfurnished,Yes,2026-01-19
Coimbatore,RS Puram,Crystal Plaza,2,1182,3261,3854502,38.55,1988,3,28,Furnished,No,2026-01-19
Ahmedabad,Naranpura,Silver Heights,2,987,4267,4211529,42.12,2017,4,27,Semi-Furnished,Yes,2026-01-19
Hyderabad,Madhapur,Crown Enclave,2,1136,7357,8357552,83.58,1991,2,13,Furnished,Yes,2026-01-19
Mumbai,Bandra,Orchid Bay,1,580,27097,15716260,157.16,2022,2,29,Semi-Furnished,No,2026-01-19
Mumbai,Powai,Pride Garden,3,1187,29625,35164875,351.65,2002,2,14,Unfurnished,No,2026-01-19
Thane,Wagle Estate,Hill Apartments,1,715,13843,9897745,98.98,2001,8,12,Unfurnished,Yes,2026-01-19
Thane,Ghodbunder Road,Green Court,1,502,18794,9434588,94.35,1998,6,28,Semi-Furnished,Yes,2026-01-19
Mumbai,Juhu,Galaxy Residency,2,1103,25328,27936784,279.37,2023,23,24,Semi-Furnished,No,2026-01-19
Gurgaon,Sohna Road,Palace Terrace,2,1059,8453,8951727,89.52,1995,8,15,Semi-Furnished,No,2026-01-19
Bengaluru,Jayanagar,Iris Enclave,3,1554,12812,19909848,199.1,2025,12,30,Unfurnished,Yes,2026-01-19
Mumbai,Andheri,Oak Garden,3,1434,25670,36810780,368.11,1993,1,27,Unfurnished,Yes,2026-01-19
Chennai,Velachery,Sky Bloom,2,1129,8509,9606661,96.07,1995,3,20,Furnished,No,2026-01-19
Coimbatore,Sivananda Colony,Hill Square,3,1482,3807,5641974,56.42,1993,7,7,Furnished,Yes,2026-01-19
Chennai,Anna Nagar,Silver Garden,4,2122,6859,14554798,145.55,2024,14,27,Semi-Furnished,Yes,2026-01-19
Lucknow,Rajajipuram,Oak Terrace,4,1822,4074,7422828,74.23,1986,2,32,Furnished,No,2026-01-19
Kolkata,Garia,Cedar Plaza,2,939,6237,5856543,58.57,2016,3,34,Furnished,No,2026-01-19
Mumbai,Lower Parel,Pride Residency,2,847,19628,16624916,166.25,2012,1,25,Semi-Furnished,No,2026-01-19
Chandigarh,Sector 8C,Lotus Apartments,1,517,6343,3279331,32.79,2018,3,26,Furnished,No,2026-01-19
Surat,Vesu,Silver Bloom,1,754,5130,3868020,38.68,1994,7,21,Semi-Furnished,No,2026-01-19
Mumbai,Juhu,Palace Bay,1,705,25713,18127665,181.28,2000,1,27,Furnished,No,2026-01-19
Thane,Kolshet,Lotus Plaza,3,1246,16762,20885452,208.85,2010,13,22,Unfurnished,No,2026-01-19
Delhi,Sultanpur,Lotus Plaza,2,1104,14494,16001376,160.01,2004,5,19,Unfurnished,Yes,2026-01-19
Chennai,Anna Nagar,Crystal Plaza,3,1671,5798,9688458,96.88,2006,1,26,Unfurnished,No,2026-01-19
Mumbai,BKC,Iris Garden,2,1030,25950,26728500,267.29,1991,10,19,Furnished,Yes,2026-01-19
Chennai,Velachery,Vista Square,3,1288,5139,6619032,66.19,2020,9,12,Unfurnished,Yes,2026-01-19
Pune,Hinjewadi,Crown Terrace,3,1591,6051,9627141,96.27,2004,3,25,Semi-Furnished,No,2026-01-19
Hyderabad,Madhapur,Ocean Grove,2,1003,7436,7458308,74.58,2003,9,30,Semi-Furnished,Yes,2026-01-19
Mohali,Sector 70,Silver Garden,3,1392,5137,7150704,71.51,2019,3,7,Furnished,No,2026-01-19
Mumbai,Bandra,Regal Garden,2,1010,29921,30220210,302.2,1997,1,10,Furnished,No,2026-01-19
Mohali,Kharar,Cedar Terrace,2,1039,6024,6258936,62.59,1986,2,14,Semi-Furnished,Yes,2026-01-19
Chandigarh,Sector 9,Lotus Court,2,1114,8708,9700712,97.01,1997,5,32,Unfurnished,Yes,2026-01-19
Jaipur,Mansarovar,Pride Square,1,441,3831,1689471,16.89,2007,4,33,Furnished,No,2026-01-19
Chennai,Anna Nagar,Hill Villas,2,1039,5175,5376825,53.77,2011,4,6,Semi-Furnished,No,2026-01-19
Gurgaon,Sohna Road,Pearl Apartments,2,964,7606,7332184,73.32,1991,7,34,Semi-Furnished,No,2026-01-19
Nagpur,Bajaj Nagar,Orchid Bloom,2,1043,3748,3909164,39.09,2012,5,16,Unfurnished,Yes,2026-01-19
Chennai,Anna Nagar,Oak Plaza,1,505,8905,4497025,44.97,2010,7,21,Furnished,No,2026-01-19
Chandigarh,Sector 21,Crown Arcade,3,1188,8775,10424700,104.25,2002,1,10,Unfurnished,No,2026-01-19
Gurgaon,Sector 49,Maple Arcade,1,749,11804,8841196,88.41,2018,1,16,Semi-Furnished,No,2026-01-19
Bengaluru,Koramangala,Pearl Square,2,911,10484,9550924,95.51,1989,2,22,Semi-Furnished,No,2026-01-19
Bengaluru,Whitefield,Pearl Plaza,1,534,9493,5069262,50.69,1998,7,21,Furnished,Yes,2026-01-19
Mumbai,BKC,Pride Plaza,2,954,24064,22957056,229.57,2002,4,10,Unfurnished,No,2026-01-19
Kolkata,Garia,Green Garden,1,691,4549,3143359,31.43,1995,4,12,Furnished,No,2026-01-19
Coimbatore,Kovaipudur,Iris Court,1,583,4071,2373393,23.73,1995,2,8,Semi-Furnished,No,2026-01-19
Delhi,Lajpat Nagar,Green Bloom,3,1383,12780,17674740,176.75,2005,4,7,Semi-Furnished,Yes,2026-01-19
Mohali,Phase 3B2,Crystal Grove,3,1205,6612,7967460,79.67,1988,6,34,Unfurnished,Yes,2026-01-19
Mohali,Phase 8,Pearl Enclave,2,878,6002,5269756,52.7,1994,1,17,Unfurnished,Yes,2026-01-19
Bengaluru,Hebbal,Lotus Square,1,635,12074,7666990,76.67,2019,2,34,Unfurnished,Yes,2026-01-19
Mumbai,Powai,Royal Court,2,1023,23062,23592426,235.92,2018,6,9,Unfurnished,No,2026-01-19
Pune,Camp,Ocean Bay,1,702,10018,7032636,70.33,2002,1,27,Unfurnished,Yes,2026-01-19
Mumbai,Andheri,Palace Square,2,1081,28457,30762017,307.62,2008,2,21,Semi-Furnished,No,2026-01-19
Mumbai,Versova,Vista Bay,1,580,28855,16735900,167.36,2004,3,10,Unfurnished,No,2026-01-19
Gurgaon,Sector 14,Regal Garden,2,847,11629,9849763,98.5,2006,9,18,Semi-Furnished,No,2026-01-19
Gurgaon,Sohna Road,Lotus Residency,3,1286,8205,10551630,105.52,2022,2,15,Semi-Furnished,Yes,2026-01-19
Bengaluru,Hebbal,Royal Square,2,1006,7977,8024862,80.25,1987,3,15,Furnished,Yes,2026-01-19
Ahmedabad,Maninagar,Crystal Apartments,1,596,3607,2149772,21.5,1985,2,13,Furnished,No,2026-01-19
Indore,Vijay Nagar,Silver Terrace,2,998,3450,3443100,34.43,1994,3,5,Furnished,Yes,2026-01-19
Mumbai,Juhu,Pride Residency,3,1730,29888,51706240,517.06,2009,2,19,Semi-Furnished,Yes,2026-01-19
Delhi,Saket,Silver Enclave,1,634,13676,8670584,86.71,2018,3,20,Furnished,No,2026-01-19
Pune,Baner,Royal Residency,2,775,8001,6200775,62.01,2012,2,16,Unfurnished,Yes,2026-01-19
Chandigarh,Sector 21,Lotus Plaza,1,625,7756,4847500,48.48,2015,1,29,Unfurnished,Yes,2026-01-19
Delhi,Rohini,Pride Grove,2,962,9470,9110140,91.1,2021,2,20,Furnished,No,2026-01-19
Mumbai,Juhu,Hill Grove,4,2490,31511,78462390,784.62,1986,2,21,Unfurnished,Yes,2026-01-19
Gurgaon,DLF Phase 1,Crystal Villas,1,564,12674,7148136,71.48,1997,4,13,Unfurnished,No,2026-01-19
Mumbai,BKC,Pearl Arcade,1,640,26611,17031040,170.31,1996,7,29,Furnished,No,2026-01-19
Jaipur,Bani Park,Sunrise Villas,3,1451,3484,5055284,50.55,2010,4,35,Semi-Furnished,No,2026-01-19
Mumbai,Versova,Crown Square,1,552,28576,15773952,157.74,2024,7,18,Unfurnished,Yes,2026-01-19
Thane,Ghodbunder Road,Vista Apartments,2,768,15303,11752704,117.53,2020,1,29,Furnished,Yes,2026-01-19
Ahmedabad,Maninagar,Regal Plaza,3,1352,4188,5662176,56.62,2000,8,11,Furnished,No,2026-01-19
Mohali,Kharar,Oak Plaza,2,850,6280,5338000,53.38,1990,4,31,Unfurnished,Yes,2026-01-19
Mumbai,Powai,Urban Plaza,4,2539,24438,62048082,620.48,2007,10,15,Unfurnished,Yes,2026-01-19
Hyderabad,Hitech City,Sunrise Villas,3,1722,8497,14631834,146.32,2001,1,25,Semi-Furnished,No,2026-01-19
Mumbai,Bandra,Palace Garden,2,909,26373,23973057,239.73,2022,5,22,Unfurnished,No,2026-01-19
Pune,Hinjewadi,Green Grove,3,1418,6184,8768912,87.69,2003,27,33,Unfurnished,Yes,2026-01-19
Kolkata,Salt Lake,Sky Plaza,3,1433,5527,7920191,79.2,2014,2,33,Unfurnished,No,2026-01-19
Bengaluru,Whitefield,Ocean Bloom,2,683,10755,7345665,73.46,2007,13,28,Furnished,No,2026-01-19
Indore,Safal Market,Crown Terrace,2,941,4061,3821401,38.21,2011,4,31,Unfurnished,Yes,2026-01-19
